from,to,relation
JL,setup65,1
JL,talent_team_papendal,1
JL,eurosped_almelo,1
JL,coolen_alterno,1
JL,usc_muenster,1
JL,NLD,2
MT,rc_cannes,1
MT,volero_le_cannet,1
MT,volero_zuerich,1
MT,le_cannet_volley_ball,1
MT,smaesch_pfeffingen,1
MT,vc_maritza,1
MT,BGR,2
ET,talent_team_papendal,1
ET,alterno_apeldoorn,1
ET,eurosped_twente,1
ET,ladies_in_black_aachen,1
ET,NLD,2
HK,vfb_ulm,1
HK,olympiastuetzpunkt_stuttgart,1
HK,bundesstuetzpunkt_stuttgart,1
HK,DEU,2
IVV,asterix_kieldrecht,1
IVV,rc_cannes,1
IVV,bisonte_firenze,1
IVV,calcit_ljubljana,1
IVV,rote_raben_vilsbiburg,1
IVV,csm_targoviste,1
IVV,BEL,2
JN,grot_bundowlani_lodz,1
JN,bielsko_biala,1
JN,ks_palac_bydgoszcz,1
JN,sms_szczyrk,1
JN,POL,2
SL,kurobe_aquafairies,1
SL,beylikduezue,1
SL,imoco_conegliano,1
SL,penn_state_univ,1
SL,USA,2
MSP,millenium_brescia,1
MSP,dresdner_sc,1
MSP,san_bernardo_cuneo,1
MSP,saugella,1
MSP,trentino,1
MSP,hermaea_olbia,1
MSP,cv_barcelona,1
MSP,ESP,2
HJ,vfb_thueringen,1
HJ,vc_sneek,1
HJ,NLD,2
HD,mtv_stuttgart_zwei,1
HD,bundesstuetzpunkt_stuttgart,1
HD,DEU,2
KR,university_of_alabama,1
KR,beziers_angels,1
KR,luka_bar,1
KR,USA,2
LB,fv_tuebinger_modell,1
LB,bsp_mtv_stuttgart,1
LB,vco_berlin,1
LB,DEU,2
RK,kbm_branik,1
RK,lp_viesti,1
RK,lp_kangasala,1
RK,hpk_naiset,1
RK,kimmo,1
RK,someron_pallo,1
RK,FIN,2
LG,ej_mtv_stuttgart,1
LG,bundesstuetzpunkt_stuttgart,1
LG,DEU,2
